PMID,CitedBy
28344017,"['38039129', '38004612', '35890340', '35552683', '34731414', '33573745', '32440558', '31668904', '30957991', '30284225', '29543755']"
28344019,"['38855604', '37187722', '35685916', '33849794', '33842532', '30922619', '29744478']"
28344040,"['39563253', '39551913', '39538215', '39524539', '39495907', '39468547', '39460871', '39441582', '39438339', '39372951', '39342168', '39329974', '39294131', '39280612', '39258883', '39246448', '39234824', '39233739', '39199429', '39192357', '39188344', '39165846', '39138186', '39131883', '39127986', '39055651', '39033180', '39023794', '39006762', '38988908', '38984939', '38967523', '38961902', '38933287', '38928445', '38839892', '38811442', '38806988', '38796789', '38789926', '38785979', '38764000', '38744809', '38711218', '38704599', '38632496', '38576724', '38572667', '38566554', '38562618', '38551160', '38548861', '38545841', '38520019', '38482442', '38474421', '38455573', '38438725', '38429265', '38398118', '38355483', '38326863', '38267663', '38242006', '38228961', '38205931', '38193984', '38171932', '38164289', '38125441', '38125436', '38123727', '38091112', '38085094', '38075202', '38072944', '38071304', '38070488', '37979586', '37965577', '37964279', '37932821', '37932814', '37928039', '37915034', '37901254', '37885806', '37885015', '37822160', '37821870', '37818080', '37784134', '37773181', '37771377', '37759870', '37670228', '37660182', '37646828', '37639643', '37620304', '37612540', '37598273', '37588656', '37560004', '37537976', '37519297', '37492716', '37491377', '37452367', '37444417', '37438359', '37437245', '37435047', '37427348', '37426138', '37420030', '37403043', '37395412', '37369679', '37354211', '37350762', '37342505', '37325047', '37322070', '37288663', '37260902', '37250469', '37236197', '37234166', '37224767', '37221357', '37180667', '37178254', '37151887', '37142996', '37096833', '37069649', '37068770', '37063420', '37056835', '37013031', '37009476', '37007161', '37007137', '36996116', '36973285', '36971873', '36947363', '36935487', '36915498', '36911524', '36860637', '36859428', '36859310', '36841801', '36831575', '36816047', '36814204', '36810689', '36810108', '36803098', '36794620', '36792369', '36776864', '36768150', '36750826', '36747529', '36705538', '36686788', '36683086', '36632456', '36619747', '36609413', '36591524', '36589239', '36567510', '36557225', '36536402', '36513634', '36513580', '36503445', '36497402', '36466802', '36446846', '36437944', '36411870', '36407103', '36389308', '36371254', '36360287', '36333783', '36321774', '36321378', '36316318', '36293529', '36284068', '36281789', '36278325', '36277972', '36261710', '36260366', '36250017', '36239338', '36226185', '36212415', '36207306', '36197973', '36187229', '36178367', '36172147', '36168628', '36158188', '36120577', '36119839', '36118889', '36118888', '36114757', '36106122', '36096444', '36090906', '36085064', '36081552', '36071523', '36061188', '36047973', '36035182', '36012529', '36009052', '36008805', '36008465', '35990615', '35982900', '35979628', '35945641', '35939803', '35939687', '35936722', '35917813', '35897656', '35886072', '35884552', '35864970', '35859892', '35851388', '35851061', '35847857', '35846130', '35844795', '35837987', '35835441', '35796777', '35774851', '35764614', '35757688', '35735243', '35733918', '35733354', '35721711', '35720276', '35711459', '35682599', '35678231', '35659339', '35646549', '35628623', '35625706', '35614935', '35609514', '35597784', '35596159', '35582627', '35572575', '35572545', '35572524', '35568876', '35559019', '35558067', '35552718', '35545370', '35531099', '35530319', '35490460', '35485206', '35484099', '35467477', '35462896', '35449193', '35444654', '35414790', '35395767', '35387222', '35372359', '35371987', '35368653', '35356854', '35350378', '35340126', '35333330', '35331183', '35327170', '35318440', '35317283', '35311131', '35303054', '35299934', '35279083', '35278676', '35261810', '35261206', '35242677', '35220962', '35182329', '35164788', '35159310', '35155260', '35154467', '35142084', '35141044', '35137116', '35130626', '35121864', '35117988', '35115038', '35114989', '35110680', '35093087', '35081365', '35070987', '35070494', '35069736', '35069679', '35063010', '35060905', '35047491', '35047056', '35040547', '35040253', '35032318', '35031597', '35025029', '35023630', '35022030', '35018226', '35012593', '35004726', '35004679', '35003212', '34999731', '34975871', '34954129', '34951345', '34916487', '34915192', '34900697', '34897032', '34869344', '34869335', '34858987', '34853296', '34831207', '34805173', '34803608', '34802443', '34794452', '34786052', '34778266', '34759954', '34759347', '34745970', '34745269', '34743750', '34733841', '34722303', '34722298', '34721530', '34718755', '34705606', '34675398', '34660577', '34659574', '34645788', '34634806', '34631545', '34631277', '34630412', '34608273', '34599880', '34589154', '34586737', '34586728', '34586620', '34573116', '34562087', '34557726', '34553132', '34553023', '34526985', '34521394', '34513291', '34503065', '34491904', '34484567', '34484284', '34462564', '34446844', '34417605', '34381710', '34376206', '34373568', '34363020', '34362795', '34354698', '34350258', '34345203', '34341537', '34336690', '34335955', '34324140', '34312488', '34306195', '34281602', '34281544', '34277622', '34272618', '34254196', '34253897', '34248650', '34224107', '34218271', '34212046', '34211849', '34181729', '34150845', '34149432', '34136099', '34132367', '34131250', '34117859', '34113622', '34112124', '34105279', '34103054', '34093133', '34088870', '34084217', '34078608', '34060205', '34056479', '34055982', '34054873', '34048709', '34016959', '33999206', '33996255', '33975615', '33968717', '33959615', '33955720', '33926508', '33911218', '33898430', '33880847', '33841662', '33841509', '33807762', '33806782', '33790968', '33783988', '33777035', '33775829', '33767371', '33754077', '33750796', '33749070', '33744868', '33741917', '33738268', '33718213', '33718165', '33718069', '33708621', '33707441', '33692959', '33692753', '33691743', '33684100', '33680951', '33676554', '33670062', '33665358', '33654093', '33653351', '33652758', '33643384', '33637103', '33628782', '33627125', '33611339', '33597534', '33597240', '33584787', '33552994', '33526768', '33520717', '33519432', '33511112', '33489865', '33473328', '33470439', '33461542', '33456585', '33430133', '33428593', '33426808', '33420027', '33412003', '33403026', '33391492', '33380386', '33376625', '33375621', '33361765', '33350853', '33335958', '33330128', '33292652', '33264518', '33240891', '33239892', '33231844', '33230473', '33220174', '33162550', '33153500', '33148378', '33134160', '33133142', '33125109', '33082563', '33072746', '33050279', '33029866', '33023892', '32992647', '32989163', '32984403', '32983644', '32978519', '32977537', '32974160', '32967524', '32964246', '32956847', '32956623', '32951457', '32948220', '32943100', '32913527', '32913456', '32911345', '32905518', '32900991', '32895140', '32884942', '32863943', '32859993', '32850303', '32843065', '32839320', '32813261', '32802173', '32793593', '32782536', '32772918', '32767982', '32765970', '32754274', '32749190', '32746693', '32742465', '32742194', '32724392', '32723561', '32709063', '32705223', '32682400', '32681245', '32676121', '32670500', '32656611', '32642789', '32622331', '32612834', '32606006', '32601430', '32582536', '32582286', '32581252', '32567849', '32566583', '32552762', '32547941', '32539851', '32526707', '32513173', '32509064', '32488114', '32483411', '32444598', '32443966', '32440486', '32439916', '32429928', '32426101', '32404927', '32402250', '32398132', '32375856', '32373523', '32346127', '32329191', '32323801', '32316617', '32303268', '32300195', '32296573', '32286148', '32284746', '32267835', '32258108', '32245947', '32245489', '32244981', '32226518', '32218194', '32211315', '32210357', '32209098', '32201509', '32194978', '32194861', '32183948', '32165496', '32116145', '32111216', '32106857', '32101138', '32091154', '32086933', '32047515', '32042813', '32039732', '32038982', '32021563', '31994439', '31983283', '31958696', '31956264', '31947544', '31921664', '31912146', '31906946', '31888886', '31870368', '31856849', '31808521', '31804607', '31801551', '31792064', '31757221', '31735169', '31722709', '31717266', '31673227', '31653849', '31632489', '31607270', '31605963', '31601799', '31599491', '31575017', '31530567', '31523126', '31519943', '31516580', '31510685', '31504851', '31497208', '31476365', '31452869', '31438961', '31409574', '31399576', '31333841', '31325527', '31320814', '31316981', '31300274', '31296961', '31285549', '31281518', '31243897', '31230592', '31160393', '31149892', '31142332', '31131257', '31110512', '31106001', '31100245', '31097692', '31072351', '31069256', '31061416', '31048770', '31040162', '31031138', '31015415', '31001320', '30987661', '30979372', '30967398', '30961831', '30953473', '30940398', '30922314', '30911972', '30880252', '30879160', '30877265', '30870073', '30866959', '30810537', '30796352', '30792383', '30788764', '30781903', '30781586', '30766746', '30759236', '30755352', '30654440', '30648791', '30644073', '30637606', '30637548', '30628173', '30626325', '30601803', '30588520', '30531910', '30514900', '30505654', '30465076', '30429466', '30428628', '30425123', '30417217', '30416848', '30405838', '30405719', '30392959', '30388617', '30344705', '30296493', '30290229', '30286143', '30279357', '30262497', '30230927', '30212448', '30183280', '30182330', '30149601', '30131850', '30105001', '30097961', '30065315', '30062093', '30050561', '30039919', '30037968', '30031372', '30022840', '30013979', '29997116', '29958477', '29921017', '29909453', '29904125', '29900123', '29855379', '29789545', '29789536', '29782652', '29773918', '29729018', '29709557', '29698584', '29686311', '29587823', '29535189', '29529255', '29506078', '29484125', '29458374', '29439529', '29416616', '29310682', '29279410', '29244246', '29228737', '29222116', '29125541', '29117175', '29109677', '29103884', '29084589', '29061143', '29040886', '28991227', '28931651', '28920958', '28914256', '28759256', '28622506', '28533023', '28399407']"
28344039,"['39283524', '37810550', '37686260', '36476230', '35865099', '35513774', '35267426', '35196490', '34493733', '34439101', '34397171', '33771697', '33634124', '33633772', '33052237', '33047739', '33008771', '32540914', '32152365', '31931653', '31850193', '31747015', '31466944', '31366128', '31353123', '31315787', '31097763', '31043608', '30718921', '30535970', '30333886', '30204534', '30150711', '30135717', '29734647', '29671777', '29149895', '28857077', '28607007', '28465491', '28401956']"
28344061,"['39451545', '39451193', '39022356', '38928239', '38800357', '38002043', '37972887', '37967812', '37830229', '36803580', '36553672', '35720384', '35408582', '35079623', '34675331', '34155974', '34101928', '34019818', '33128003', '33111207', '32887384', '31083540', '30523246', '30279339']"
28344067,"['38066417', '36842481', '33621561', '32038222', '30148983', '29250792']"
28344068,"['39377917', '38405751', '37466674', '34732524', '34721894', '33603933', '32970199', '32733221', '32106392', '32060564', '31514976', '31138661', '30093857']"
28344070,['29335750']
28344075,"['38519470', '38329566', '38309498', '38247416', '38087143', '38033546', '38028754', '37743582', '37596355', '37566916', '37492488', '37481961', '37239297', '36798352', '36389072', '36324648', '36207333', '36094570', '36090000', '35979339', '35280483', '35141322', '35074504', '35047823', '34964182', '34665153', '34472741', '34432059', '34282131', '34025484', '33913199', '33716655', '33693888', '33533324', '33204197', '33123000', '33071726', '32849223', '32661938', '32651433', '32195661', '32164035', '32123208', '32049791', '32020285', '31426055', '31114515', '31063939', '30878612', '30113864', '30093361', '30035002', '29951028', '29867727', '29867724', '29860407', '29749715', '29713176', '29484254', '29226069', '29156690', '28855654', '28467917']"
28344076,"['38903992', '36777801', '35585127', '35557593', '33802239', '32789028']"
